artist,place,primary_image_id,title,year_start
,Venice,2009CB7279,,1500
,Syria,2008BU7145,,200
,Egypt,2009CD9088,,400
,Iraq,2006BB4731,,850
,England,2006AJ7510,,1400
,France,2006AJ7961,,1200
,Iran,2006AF5129,,1150
,Mill Green,2006BE8256,,1300
,Kashan,2006AN9181,,1180
Unknown,,2006BF2728,Head of Buddha,1200
,Aleppo,2006AF6951,,1200
,Korea,2007BM7252,Celadon Kundika with Inlaid Willow and Duck Design,1200
,Naples,2009CR7633,,1450
,Japan,2006BE6458,,1200
,Korea,2009CC4629,,1100
Unknown,,2008BT3491,,1100
,Korea,2008BT0373,Flower-shaped Celadon Cup Stand,1200
Unknown,Basra,2006AG4292,,800
Unknown,China,2010EJ2074,,-2005
Unknown,Málaga,2008BV1641,,1350
Unknown,Samarqand,2006AF7272,,1400
Unknown,Madinat al-Zahra,2006AE5798,,961
"Bruyn, Claes de",Belgium,2008BW2610,,1436
Unknown,Egypt,2006AT9558,,-1575
"Bruyn, Claes de",Belgium,2008BW2614,,1436
Unknown,Burma,2006AF3598,,1450
Unknown,China,2006AT6150,,-2505
Unknown,Mathura,2007BL4483,Seated Buddha,200
Unknown,Germany,2006BF0305,,1000
Unknown,China,2006BF3683,,-206
Unknown,England,2011FC6706,,1220
Unknown,Eastern Iran,2006AF6971,,900
Unknown,Pagan,2006AF3702,,1000
Unknown,Bukhara,2006AF0219,,1353
Unknown,China,2006BF5067,,-1250
"Gagini, Giovanni",Genoa,2009CT3932,Doorway surmounted by a figure of St. Stephen and carved with a relief of the Nativity,1472
Unknown,Paris,2006AD3377,Hunting scenes,1320
